tingkat,tahun,bulan,tanggal,jenis,harga
pedagang_eceran,2025,januari,25,cabai_merah_keriting,52475
pedagang_eceran,2025,januari,26,cabai_merah_keriting,53423
pedagang_eceran,2025,januari,27,cabai_merah_keriting,
pedagang_eceran,2025,januari,28,cabai_merah_keriting,
pedagang_eceran,2025,januari,29,cabai_merah_keriting,
pedagang_eceran,2025,januari,30,cabai_merah_keriting,53552
pedagang_eceran,2025,januari,31,cabai_merah_keriting,52985
pedagang_eceran,2025,januari,1,cabai_merah_besar,
pedagang_eceran,2025,januari,2,cabai_merah_besar,54463
pedagang_eceran,2025,januari,3,cabai_merah_besar,53717
pedagang_eceran,2025,januari,4,cabai_merah_besar,56192
pedagang_eceran,2025,januari,5,cabai_merah_besar,55673
pedagang_eceran,2025,januari,6,cabai_merah_besar,57392
pedagang_eceran,2025,januari,7,cabai_merah_besar,56000
pedagang_eceran,2025,januari,8,cabai_merah_besar,56280
pedagang_eceran,2025,januari,9,cabai_merah_besar,57088
pedagang_eceran,2025,januari,10,cabai_merah_besar,56365
pedagang_eceran,2025,januari,11,cabai_merah_besar,56270
pedagang_eceran,2025,januari,12,cabai_merah_besar,58196
pedagang_eceran,2025,januari,13,cabai_merah_besar,55760
pedagang_eceran,2025,januari,14,cabai_merah_besar,59048
pedagang_eceran,2025,januari,15,cabai_merah_besar,56791
pedagang_eceran,2025,januari,16,cabai_merah_besar,56478
pedagang_eceran,2025,januari,17,cabai_merah_besar,55938
pedagang_eceran,2025,januari,18,cabai_merah_besar,57092
pedagang_eceran,2025,januari,19,cabai_merah_besar,57000
pedagang_eceran,2025,januari,20,cabai_merah_besar,56057
pedagang_eceran,2025,januari,21,cabai_merah_besar,56200
pedagang_eceran,2025,januari,22,cabai_merah_besar,55421
pedagang_eceran,2025,januari,23,cabai_merah_besar,55542
pedagang_eceran,2025,januari,24,cabai_merah_besar,55911
pedagang_eceran,2025,januari,25,cabai_merah_besar,55264
pedagang_eceran,2025,januari,26,cabai_merah_besar,55885
pedagang_eceran,2025,januari,27,cabai_merah_besar,
pedagang_eceran,2025,januari,28,cabai_merah_besar,
pedagang_eceran,2025,januari,29,cabai_merah_besar,
pedagang_eceran,2025,januari,30,cabai_merah_besar,56720
pedagang_eceran,2025,januari,31,cabai_merah_besar,57202
pedagang_eceran,2025,januari,1,daging_sapi,130835
pedagang_eceran,2025,januari,2,daging_sapi,130914
pedagang_eceran,2025,januari,3,daging_sapi,130423
pedagang_eceran,2025,januari,4,daging_sapi,130262
pedagang_eceran,2025,januari,5,daging_sapi,130854
pedagang_eceran,2025,januari,6,daging_sapi,130351
pedagang_eceran,2025,januari,7,daging_sapi,130876
pedagang_eceran,2025,januari,8,daging_sapi,130544
pedagang_eceran,2025,januari,9,daging_sapi,130845
pedagang_eceran,2025,januari,10,daging_sapi,130289
pedagang_eceran,2025,januari,11,daging_sapi,131321
pedagang_eceran,2025,januari,12,daging_sapi,130922
pedagang_eceran,2025,januari,13,daging_sapi,131179
pedagang_eceran,2025,januari,14,daging_sapi,131042
pedagang_eceran,2025,januari,15,daging_sapi,131042
pedagang_eceran,2025,januari,16,daging_sapi,131010
pedagang_eceran,2025,januari,17,daging_sapi,130896
pedagang_eceran,2025,januari,18,daging_sapi,131038
pedagang_eceran,2025,januari,19,daging_sapi,130707
pedagang_eceran,2025,januari,20,daging_sapi,131629
pedagang_eceran,2025,januari,21,daging_sapi,130937
pedagang_eceran,2025,januari,22,daging_sapi,131279
pedagang_eceran,2025,januari,23,daging_sapi,131163
pedagang_eceran,2025,januari,24,daging_sapi,131020
pedagang_eceran,2025,januari,25,daging_sapi,131367
pedagang_eceran,2025,januari,26,daging_sapi,130933
pedagang_eceran,2025,januari,27,daging_sapi,
pedagang_eceran,2025,januari,28,daging_sapi,
pedagang_eceran,2025,januari,29,daging_sapi,
pedagang_eceran,2025,januari,30,daging_sapi,131330
pedagang_eceran,2025,januari,31,daging_sapi,131115
pedagang_eceran,2025,januari,1,cabai_rawit_merah,57400
pedagang_eceran,2025,januari,2,cabai_rawit_merah,68329
